text,label
Cash Flow from Operations for the most recent quarter also reached a eight year low ,negative
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 ,positive
"The Company operates through four principal divisions : Consumer Packaging ; Office Papers ; Speciality Papers , as well as Market Pulp and Energy ",neutral
The contract has been allotted as per lowest price criteria ,neutral
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland ",neutral
Financial terms were n't disclosed ,neutral
`` Serving customers locally is one of the cornerstones of customer focus for us ,neutral
This new partnership agreement represents a significant milestone for both parties ,positive
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings ",neutral
"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer ",positive
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 ,positive
The expansion is to be finalized in the autumn of 2009 ,neutral
"The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products ",neutral
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros ,positive
The statutory negotiations at headquarters are part of this decrease ,neutral
The forecast for 2012 is 3.3 % ,neutral
"128,538 shares can still be subscribed for with Series E share options , max ",neutral
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data ",neutral
"`` Subscribers can browse free numbers with their handset , and select the numbers , packages and services they prefer when activating the phone ",neutral
"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London ",neutral
The business area 's net sales were slightly over 2m in 2006 ,neutral
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure ",positive
"ALEXANDRIA , Va. , Jan. 9 -- United States Patent no. 7,862,685 , issued on Jan. 4 , was assigned to Kemira Chemicals Inc. ( Marietta , Ga. ) ",neutral
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services ,neutral
"Following the divestment , Fiskars 's Outdoor unit will comprise the brands Gerber , Silva and Buster , and will focus on multi-tools , knives , compasses , mobile lighting , pedometers , and aluminium boats ",neutral
The production is to be liquidated before June 2009 and 325 employees loose their jobs ,negative
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 ,negative
"The Liquid Handling segment offers laboratory equipment and accessories , including mechanical and electronic pipettes , and disposable tips used in the research institutions , universities , and hospitals , as well as in the pharmaceutical , food , and other industries under the Biohit brand ",neutral
"In addition to the demand in Finland , the export of lining stone products also increased ",positive
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,negative
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 ,neutral
M+�kel+� is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum ,neutral
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 ",negative
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium ",neutral
`` They want my credit card info and my personal details ,neutral
The total investment in 2006 and 2007 is expected to amount to about EUR75m ,neutral
"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B ",neutral
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities ",neutral
"Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB will perform the construction work , which is expected to start in early 2011 and to be completed in the summer of 2013 ",neutral
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million ,positive
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year ,positive
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier ,positive
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 ,negative
"Our objective is to yield a significant part of our turnover in Russia in a couple of years , '' says Solteq 's Managing Director Hannu Ahola ",neutral
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F ",positive
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy ",neutral
"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told ",negative
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year ,positive
` By separating side businesses we will be able to faster expand and develop Tapro retail network ,positive
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars ,neutral
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 ,positive
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology ,neutral
"The total headcount reduction will be 50 persons , the company said ",negative
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day ",neutral
"The corresponding increase in the share capital , EUR422 ,754 , has been entered in the Trade Register today ",neutral
The Moscow Metro ( www.mosmetro.ru ) was the first metro system in Europe to implement smart cards together with a new type of magnetic card in 1998 ,neutral
"`` Tom Doring has a long and successful career in the drives business , and he knows the American market ",neutral
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities ",neutral
"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular ",positive
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn ,positive
NASDAQ-listed Yahoo Inc has introduced a new service that enables Malaysians to take their favorite Internet content and services with them on their mobile phones ,positive
"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them ",neutral
He confirmed his view on July 6 ,neutral
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse ,neutral
"Budapest , August 10 MTI - Finnish electronics maker Elcoteq will lay off 700 workers at its plants in Pecs S Hungary at the end of September because of falling orders , communications director for Elcoteq 's local unit , Zoltan Krippl told MTI on Monday ",negative
"According to Olvi 's Managing Director Lasse Aho , the company has an ongoing MMX Plus project that aims to find growth outside Finland ",positive
`` We 've been feeling quite positive about the region as a whole ,positive
"It also has strong assets in electronic media , employing 18,500 an increase of 9 percent on last year ",positive
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices ",neutral
"Honkarakenne mainly exports large luxury log houses to Russia to be used as one-family houses or holiday homes ; 70 % of sales go to the Moscow region , about 20 % to the St Petersburg region , and the remainder to other locations ",neutral
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release ,neutral
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ",negative
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board ",neutral
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws ,neutral
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 ,positive
The changes in readership were not significant ,neutral
It also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008 ,neutral
"Currently , the plant operates on full capacity ",neutral
"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries ",negative
"The StoneGate product family was designed to provide the full benefits of a unified management system including shared logging , reporting and auditing ",neutral
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier ",positive
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 ",negative
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 ,positive
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News ",neutral
"Sales in local currencies decreased by 0.5 percent while the number of subscribers rose by 12.7 million to a total of 147.6 million at the end of fourth quarter , the company said ",neutral
"Yesterday , Legrand issued its E300 million fixed rate deal maturing 2017 ",neutral
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator ",positive
"Jeder Beta-Tester erh+�lt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die M+�glichkeit , die finale Version zu beeinflussen ",neutral
"The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option ",neutral
"We went to the market with yield guidance of the 7.25 % area , which gave us the flexibility to go up or down by 1-8th ",neutral
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group ",neutral
"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group ",positive
Other details were not provided ,neutral
"The company 's scheduled traffic , measured in revenue passenger kilometres RPK , grew by just over 2 % and nearly 3 % more passengers were carried on scheduled flights than in February 2009 ",positive
"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 ",positive
"` Sanoma is a buyer not a target , ' he said ",neutral
"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data ",positive
"As a result , a total of 82 employees would be given notice ",neutral
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad ",neutral
"Thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our Indian operations '' , tells Incap 's President & CEO Juhani Hanninen ",positive
"Maximum amount of terminations in Finland is 40 employees , the company added ",neutral
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,negative
Cash flow from operating activities is estimated to be positive ,positive
COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limite,neutral
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million ,negative
"Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank ",neutral
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries ",neutral
"Also , it is bringing in `` the right kind of people '' to upgrade its human resources ",positive
"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas ",positive
"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds ",neutral
